"gender","event","medal","athlete","abb","year"
"Men","100 m Backstroke A7","Gold","BARNBECK Heinz","FRG",1988
"Men","100 m Backstroke A7","Silver","WOJCIECHOWSKI Andrzej","POL",1988
"Men","100 m Backstroke A7","Bronze","MIKELIN Roko","YUG",1988
"Men","100 m Backstroke A8","Gold","BUDIN Hanoch","ISR",1988
"Men","100 m Backstroke A8","Silver","LACROIX Emmanuel","FRA",1988
"Men","100 m Backstroke A8","Bronze","MINDORF Philip","CAN",1988
"Men","100 m Backstroke B1","Gold","MCISAAC Timothy","CAN",1988
"Men","100 m Backstroke B1","Silver","CHER Oleg","URS",1988
"Men","100 m Backstroke B1","Bronze","DAGLIO Corrado","ITA",1988
"Men","100 m Backstroke B2","Gold","KROL Wieslaw","POL",1988
"Men","100 m Backstroke B2","Silver","CORRAL Pablo","ESP",1988
"Men","100 m Backstroke B2","Bronze","KRIER Jack","USA",1988
"Men","100 m Backstroke B3","Gold","EDGSON Michael","CAN",1988
"Men","100 m Backstroke B3","Silver","PEDERSEN Noel","NOR",1988
"Men","100 m Backstroke B3","Bronze","FRIEDRICK John","USA",1988
"Men","100 m Backstroke C3","Gold","HENNE Haakon","NOR",1988
"Men","100 m Backstroke C3","Silver","BADIE Claude","FRA",1988
"Men","100 m Backstroke C3","Bronze","AVHAR Boaz","ISR",1988
"Men","100 m Backstroke C5","Gold","MANSELL Martin","GBR",1988
"Men","100 m Backstroke C5","Silver","QUICKERT Michael","FRG",1988
"Men","100 m Backstroke C5","Bronze","CHRISTENSEN Anders","DEN",1988
"Men","100 m Backstroke L4","Gold","STOKKEL Johannes","NED",1988
"Men","100 m Backstroke L4","Silver","GILBERT Andrew","GBR",1988
"Men","100 m Backstroke L4","Bronze","LAPP Michael","FRG",1988
"Men","100 m Backstroke L5","Gold","WOELK Holger","FRG",1988
"Men","100 m Backstroke L5","Silver","NOBLE Paul","GBR",1988
"Men","100 m Backstroke L5","Bronze","DE GROOT Henk","NED",1988
"Men","100 m Backstroke L6","Gold","EINARSSON Mats","SWE",1988
"Men","100 m Backstroke L6","Silver","GOMEZ Alberto","ESP",1988
"Men","100 m Backstroke L6","Bronze","PISETTA Alessandro","ITA",1988
"Men","100 m Backstroke 4","Gold","PIELAK Adam","POL",1988
"Men","100 m Backstroke 4","Silver","VAN LOON Jeffrey","NED",1988
"Men","100 m Backstroke 4","Bronze","TERPENNING James","USA",1988
"Men","100 m Backstroke 5","Gold","MICOREC Bernard","FRA",1988
"Men","100 m Backstroke 5","Silver","SAJKIEWICZ Zbigniew","POL",1988
"Men","100 m Backstroke 5","Bronze","PRISSET Herve","FRA",1988
"Men","100 m Backstroke 6","Gold","DUNNE Gerard","IRL",1988
"Men","100 m Backstroke 6","Silver","GOTZENS Jorge","ESP",1988
"Men","100 m Backstroke 6","Bronze","CASTANE Juan","ESP",1988
"Men","200 m Backstroke C3","Gold","KIM Jong Woo","KOR",1988
"Men","200 m Backstroke C3","Silver","BADIE Claude","FRA",1988
"Men","200 m Backstroke C3","Bronze","AVHAR Boaz","ISR",1988
"Men","200 m Backstroke C5","Gold","CHRISTENSEN Anders","DEN",1988
"Men","200 m Backstroke C5","Silver","QUICKERT Michael","FRG",1988
"Men","200 m Backstroke C5","Bronze","MANSELL Martin","GBR",1988
"Men","25 m Breaststroke 1A","Gold","KENNY Mike","GBR",1988
"Men","25 m Breaststroke 1A","Silver","MASLUP Carlos","ARG",1988
"Men","25 m Breaststroke 1A","Bronze","GILLY William","USA",1988
"Men","25 m Breaststroke 1B","Gold","THOMPSON James","USA",1988
"Men","25 m Breaststroke 1B","Silver","HAUSLEITNER Gerhard","FRG",1988
"Men","25 m Breaststroke 1B","Bronze","DABROWSKI Tomasz","POL",1988
"Men","25 m Breaststroke 1C","Gold","PANCALLI Luca","ITA",1988
"Men","25 m Breaststroke 1C","Silver","SLECZKA Krzysztof","POL",1988
"Men","25 m Breaststroke 1C","Bronze","RICCI Fabio","BRA",1988
"Men","25 m Breaststroke L1","Gold","PETERSSON John","DEN",1988
"Men","25 m Breaststroke L1","Silver","COSTER Hans","SWE",1988
"Men","25 m Breaststroke L1","Bronze","MAILLE Franck","FRA",1988
"Men","50 m Breaststroke B1","Gold","COHEN Izhar","ISR",1988
"Men","50 m Breaststroke B1","Silver","NEDERMAN Lars-Ove","SWE",1988
"Men","50 m Breaststroke B1","Bronze","HUANG Yuefu","CHN",1988
"Men","50 m Breaststroke B2","Gold","PEDRAJAS Jose","ESP",1988
"Men","50 m Breaststroke B2","Silver","GHYSEL Eric","FRA",1988
"Men","50 m Breaststroke B2","Bronze","RESZCZYNSKI Roman","POL",1988
"Men","50 m Breaststroke B3","Gold","PEDERSEN Noel","NOR",1988
"Men","50 m Breaststroke B3","Silver","HUDSON Brian","USA",1988
"Men","50 m Breaststroke B3","Bronze","BUGARIN Kingsley","AUS",1988
"Men","50 m Breaststroke C6","Gold","VAN GEEL Joris","NED",1988
"Men","50 m Breaststroke C6","Silver","WOROBETZ Jeff","CAN",1988
"Men","50 m Breaststroke C6","Bronze","OHORI Takeshi","JPN",1988
"Men","50 m Breaststroke L3","Gold","SCHLUBECK Matthias","FRG",1988
"Men","50 m Breaststroke L3","Silver","ELOUT Marco","NED",1988
"Men","50 m Breaststroke L3","Bronze","CHRISTENSEN Mogens","DEN",1988
"Men","50 m Breaststroke 2","Gold","EICKEMEYER Bernd","FRG",1988
"Men","50 m Breaststroke 2","Silver","HALLAM Chris","GBR",1988
"Men","50 m Breaststroke 2","Bronze","GIUSSANI Ernesto","ITA",1988
"Men","50 m Breaststroke 3","Gold","JAQUISS Ian","USA",1988
"Men","50 m Breaststroke 3","Silver","PAWLOWSKI Arkadiusz","POL",1988
"Men","50 m Breaststroke 3","Bronze","WANGER Joseph","ISR",1988
"Men","100 m Breaststroke A1","Gold","WU Yan Hu","CHN",1988
"Men","100 m Breaststroke A1","Silver","LIU Wenhua","CHN",1988
"Men","100 m Breaststroke A1","Bronze","DUKAI Geza","HUN",1988
"Men","100 m Breaststroke A2","Gold","LECOURS Stephane","CAN",1988
"Men","100 m Breaststroke A2","Silver","DOYLE Michael","USA",1988
"Men","100 m Breaststroke A2","Bronze","CHRYCZYK Jan","POL",1988
"Men","100 m Breaststroke A4","Gold","MOSTERD Johan","NED",1988
"Men","100 m Breaststroke A4","Silver","ZHANG Jiaman","CHN",1988
"Men","100 m Breaststroke A4","Bronze","MCGRATH Sean","IRL",1988
"Men","100 m Breaststroke A5","Gold","RICHARD Eric","FRA",1988
"Men","100 m Breaststroke A5","Silver","GIOVANNETTI Stefano","ITA",1988
"Men","100 m Breaststroke A5","Bronze","KOZON Bogdan","POL",1988
"Men","100 m Breaststroke A6","Gold","CAI Zusheng","CHN",1988
"Men","100 m Breaststroke A6","Silver","LIU Zebing","CHN",1988
"Men","100 m Breaststroke A6","Bronze","TAKACS Sandor","HUN",1988
"Men","100 m Breaststroke A8","Gold","HAMMOND Gregory","AUS",1988
"Men","100 m Breaststroke A8","Silver","SVERRISSON Geir","ISL",1988
"Men","100 m Breaststroke A8","Bronze","BUDIN Hanoch","ISR",1988
"Men","100 m Breaststroke B1","Gold","NEDERMAN Lars-Ove","SWE",1988
"Men","100 m Breaststroke B1","Silver","COHEN Izhar","ISR",1988
"Men","100 m Breaststroke B1","Bronze","SIGIDOV Vladimir","URS",1988
"Men","100 m Breaststroke B2","Gold","PEDRAJAS Jose","ESP",1988
"Men","100 m Breaststroke B2","Silver","GAPON Alexandre","URS",1988
"Men","100 m Breaststroke B2","Bronze","RESZCZYNSKI Roman","POL",1988
"Men","100 m Breaststroke B3","Gold","PEDERSEN Noel","NOR",1988
"Men","100 m Breaststroke B3","Silver","HUDSON Brian","USA",1988
"Men","100 m Breaststroke B3","Bronze","BUGARIN Kingsley","AUS",1988
"Men","100 m Breaststroke C4","Gold","SURGEONER Robin","GBR",1988
"Men","100 m Breaststroke C4","Silver","BRISENFELT Mats","SWE",1988
"Men","100 m Breaststroke C4","Bronze","NOE Hans Ole","DEN",1988
"Men","100 m Breaststroke C8","Gold","PAUWELS Hans","BEL",1988
"Men","100 m Breaststroke C8","Silver","BUYGEL Patrick","NED",1988
"Men","100 m Breaststroke C8","Bronze","BAE Sang Tae","KOR",1988
"Men","100 m Breaststroke L4","Gold","STOKKEL Johannes","NED",1988
"Men","100 m Breaststroke L4","Silver","FLEURY Eric","FRA",1988
"Men","100 m Breaststroke L4","Bronze","TRONDSEN Erling","NOR",1988
"Men","100 m Breaststroke L5","Gold","DE GROOT Henk","NED",1988
"Men","100 m Breaststroke L5","Silver","WOELK Holger","FRG",1988
"Men","100 m Breaststroke L5","Bronze","STURKENBOOM Rutger","NED",1988
"Men","100 m Breaststroke L6","Gold","HAHNENGRESS Jochen","FRG",1988
"Men","100 m Breaststroke L6","Silver","EINARSSON Mats","SWE",1988
"Men","100 m Breaststroke L6","Bronze","GOMEZ Alberto","ESP",1988
"Men","100 m Breaststroke 4","Gold","VAN LOON Jeffrey","NED",1988
"Men","100 m Breaststroke 4","Silver","PINTO Shlomo","ISR",1988
"Men","100 m Breaststroke 4","Bronze","PIELAK Adam","POL",1988
"Men","100 m Breaststroke 5","Gold","MICOREC Bernard","FRA",1988
"Men","100 m Breaststroke 5","Silver","SAJKIEWICZ Zbigniew","POL",1988
"Men","100 m Breaststroke 5","Bronze","AHLSTAD Simon","SWE",1988
"Men","200 m Breaststroke B1","Gold","NEDERMAN Lars-Ove","SWE",1988
"Men","200 m Breaststroke B1","Silver","SIGIDOV Vladimir","URS",1988
"Men","200 m Breaststroke B1","Bronze","MCISAAC Timothy","CAN",1988
"Men","200 m Breaststroke B2","Gold","PEDRAJAS Jose","ESP",1988
"Men","200 m Breaststroke B2","Silver","GAPON Alexandre","URS",1988
"Men","200 m Breaststroke B2","Bronze","RESZCZYNSKI Roman","POL",1988
"Men","200 m Breaststroke B3","Gold","PEDERSEN Noel","NOR",1988
"Men","200 m Breaststroke B3","Silver","HUDSON Brian","USA",1988
"Men","200 m Breaststroke B3","Bronze","BUGARIN Kingsley","AUS",1988
"Men","25 m Butterfly 1A","Gold","DE VIDI Alvise","ITA",1988
"Men","25 m Butterfly 1A","Silver","GILLY William","USA",1988
"Men","25 m Butterfly 1A","Bronze","HAGER Scott","USA",1988
"Men","25 m Butterfly 1B","Gold","THOMPSON James","USA",1988
"Men","25 m Butterfly 1B","Silver","HAUSLEITNER Gerhard","FRG",1988
"Men","25 m Butterfly 1B","Bronze","MAREI Ashraf","EGY",1988
"Men","25 m Butterfly 2","Gold","SULLIVAN Kevin","USA",1988
"Men","25 m Butterfly 2","Silver","BUTLER Mark","GBR",1988
"Men","25 m Butterfly 2","Bronze","SZPOJNAROWICZ Marek","POL",1988
"Men","25 m Butterfly 3","Gold","PAWLOWSKI Arkadiusz","POL",1988
"Men","25 m Butterfly 3","Silver","MOYSES Patrick","FRA",1988
"Men","25 m Butterfly 3","Bronze","OWCZAREK Miroslaw","POL",1988
"Men","50 m Butterfly A5","Gold","FOPPOLO David","FRA",1988
"Men","50 m Butterfly A5","Silver","RICHARD Eric","FRA",1988
"Men","50 m Butterfly A5","Bronze","KOZON Bogdan","POL",1988
"Men","50 m Butterfly L3","Gold","MAGNER Jorgen","SWE",1988
"Men","50 m Butterfly L3","Silver","CHRISTENSEN Mogens","DEN",1988
"Men","50 m Butterfly L3","Bronze","ANDERSEN Kim","DEN",1988
"Men","50 m Butterfly 4","Gold","PINTO Shlomo","ISR",1988
"Men","50 m Butterfly 4","Silver","VAN LOON Jeffrey","NED",1988
"Men","50 m Butterfly 4","Bronze","AVOLAIR Pascal","FRA",1988
"Men","100 m Butterfly A2","Gold","LECOURS Stephane","CAN",1988
"Men","100 m Butterfly A2","Silver","ALDOUS Peter","GBR",1988
"Men","100 m Butterfly A2","Bronze","GRIFFIN David","AUS",1988
"Men","100 m Butterfly A4","Gold","BOLOTIN Ron","ISR",1988
"Men","100 m Butterfly A4","Silver","MORETON David","GBR",1988
"Men","100 m Butterfly A4","Bronze","MOSTERD Johan","NED",1988
"Men","100 m Butterfly A6","Gold","LIU Zebing","CHN",1988
"Men","100 m Butterfly A6","Silver","ODACHOWSKI Zbigniew","POL",1988
"Men","100 m Butterfly A6","Bronze","ANDERSEN Kim Due","DEN",1988
"Men","100 m Butterfly A8","Gold","LIU Gui Ping","CHN",1988
"Men","100 m Butterfly A8","Silver","KJELLQVIST Tomas","SWE",1988
"Men","100 m Butterfly A8","Bronze","LACROIX Emmanuel","FRA",1988
"Men","100 m Butterfly B1","Gold","MCISAAC Timothy","CAN",1988
"Men","100 m Butterfly B1","Silver","DAUDEN Alberto","ESP",1988
"Men","100 m Butterfly B1","Bronze","MARY Jorge","ESP",1988
"Men","100 m Butterfly B2","Gold","GRENON Lee","CAN",1988
"Men","100 m Butterfly B2","Silver","RESZCZYNSKI Roman","POL",1988
"Men","100 m Butterfly B2","Bronze","GHYSEL Eric","FRA",1988
"Men","100 m Butterfly B3","Gold","EDGSON Michael","CAN",1988
"Men","100 m Butterfly B3","Silver","BERTHELSEN Flemming","DEN",1988
"Men","100 m Butterfly B3","Bronze","SHARPE Ian","GBR",1988
"Men","100 m Butterfly L4","Gold","TRONDSEN Erling","NOR",1988
"Men","100 m Butterfly L4","Silver","POULISSE Marcel","NED",1988
"Men","100 m Butterfly L4","Bronze","STOKKEL Johannes","NED",1988
"Men","100 m Butterfly L5","Gold","NOBLE Paul","GBR",1988
"Men","100 m Butterfly L5","Silver","DUPIN Claude","FRA",1988
"Men","100 m Butterfly L5","Bronze","EIRIKSSON Olafur","ISL",1988
"Men","100 m Butterfly L6","Gold","EINARSSON Mats","SWE",1988
"Men","100 m Butterfly L6","Silver","GOMEZ Alberto","ESP",1988
"Men","100 m Butterfly L6","Bronze","RAMOS SANTOS Leandro","BRA",1988
"Men","100 m Butterfly 5","Gold","FINDER Piotr","POL",1988
"Men","100 m Butterfly 5","Silver","GALINDO Moises","MEX",1988
"Men","100 m Butterfly 5","Bronze","MICOREC Bernard","FRA",1988
"Men","100 m Butterfly 6","Gold","DUNNE Gerard","IRL",1988
"Men","100 m Butterfly 6","Silver","HAINEY Tomas","CAN",1988
"Men","100 m Butterfly 6","Bronze","LEARDY Luis","ESP",1988
"Men","75 m Individual Medley 1A","Gold","KENNY Mike","GBR",1988
"Men","75 m Individual Medley 1A","Silver","MASLUP Carlos","ARG",1988
"Men","75 m Individual Medley 1A","Bronze","HEGAZI Al Mootasem Haly","EGY",1988
"Men","75 m Individual Medley 1B","Gold","THOMPSON James","USA",1988
"Men","75 m Individual Medley 1B","Silver","DABROWSKI Tomasz","POL",1988
"Men","75 m Individual Medley 1B","Bronze","HAUSLEITNER Gerhard","FRG",1988
"Men","100 m Individual Medley 2","Gold","SZPOJNAROWICZ Marek","POL",1988
"Men","100 m Individual Medley 2","Silver","GIUSSANI Ernesto","ITA",1988
"Men","100 m Individual Medley 2","Bronze","EICKEMEYER Bernd","FRG",1988
"Men","100 m Individual Medley 3","Gold","PAWLOWSKI Arkadiusz","POL",1988
"Men","100 m Individual Medley 3","Silver","OWCZAREK Miroslaw","POL",1988
"Men","100 m Individual Medley 3","Bronze","GIBSON Brent","NZL",1988
"Men","200 m Individual Medley A1","Gold","WU Yan Hu","CHN",1988
"Men","200 m Individual Medley A1","Silver","LIU Wenhua","CHN",1988
"Men","200 m Individual Medley A1","Bronze","JEZNACH Artur","POL",1988
"Men","200 m Individual Medley A2","Gold","LECOURS Stephane","CAN",1988
"Men","200 m Individual Medley A2","Silver","DOYLE Michael","USA",1988
"Men","200 m Individual Medley A2","Bronze","MAASSEN Vincent","NED",1988
"Men","200 m Individual Medley A4","Gold","MOSTERD Johan","NED",1988
"Men","200 m Individual Medley A4","Silver","BOLOTIN Ron","ISR",1988
"Men","200 m Individual Medley A4","Bronze","MORETON David","GBR",1988
"Men","200 m Individual Medley A5","Gold","FOPPOLO David","FRA",1988
"Men","200 m Individual Medley A5","Silver","KOZON Bogdan","POL",1988
"Men","200 m Individual Medley A5","Bronze","RICHARD Eric","FRA",1988
"Men","200 m Individual Medley A6","Gold","CAI Zusheng","CHN",1988
"Men","200 m Individual Medley A6","Silver","ANDERSEN Kim Due","DEN",1988
"Men","200 m Individual Medley A6","Bronze","LIU Zebing","CHN",1988
"Men","200 m Individual Medley A8","Gold","BUDIN Hanoch","ISR",1988
"Men","200 m Individual Medley A8","Silver","LIU Gui Ping","CHN",1988
"Men","200 m Individual Medley A8","Bronze","KJELLQVIST Tomas","SWE",1988
"Men","200 m Individual Medley B1","Gold","MCISAAC Timothy","CAN",1988
"Men","200 m Individual Medley B1","Silver","CHER Oleg","URS",1988
"Men","200 m Individual Medley B1","Bronze","MARY Jorge","ESP",1988
"Men","200 m Individual Medley B2","Gold","ANDERSSON Per","SWE",1988
"Men","200 m Individual Medley B2","Silver","CORRAL Jose","ESP",1988
"Men","200 m Individual Medley B2","Bronze","GHYSEL Eric","FRA",1988
"Men","200 m Individual Medley B3","Gold","EDGSON Michael","CAN",1988
"Men","200 m Individual Medley B3","Silver","PEDERSEN Noel","NOR",1988
"Men","200 m Individual Medley B3","Bronze","HUDSON Brian","USA",1988
"Men","200 m Individual Medley C5","Gold","CHRISTENSEN Anders","DEN",1988
"Men","200 m Individual Medley C5","Silver","MANSELL Martin","GBR",1988
"Men","200 m Individual Medley C5","Bronze","QUICKERT Michael","FRG",1988
"Men","200 m Individual Medley C8","Gold","PAUWELS Hans","BEL",1988
"Men","200 m Individual Medley C8","Silver","MAYR Karl","AUT",1988
"Men","200 m Individual Medley C8","Bronze","BECSEY Janos","HUN",1988
"Men","200 m Individual Medley L3","Gold","MAGNER Jorgen","SWE",1988
"Men","200 m Individual Medley L3","Silver","CHRISTENSEN Mogens","DEN",1988
"Men","200 m Individual Medley L3","Bronze","ELOUT Marco","NED",1988
"Men","200 m Individual Medley L4","Gold","TRONDSEN Erling","NOR",1988
"Men","200 m Individual Medley L4","Silver","STOKKEL Johannes","NED",1988
"Men","200 m Individual Medley L4","Bronze","POULISSE Marcel","NED",1988
"Men","200 m Individual Medley L5","Gold","WOELK Holger","FRG",1988
"Men","200 m Individual Medley L5","Silver","NOBLE Paul","GBR",1988
"Men","200 m Individual Medley L5","Bronze","STURKENBOOM Rutger","NED",1988
"Men","200 m Individual Medley L6","Gold","EINARSSON Mats","SWE",1988
"Men","200 m Individual Medley L6","Silver","SAINI Gianluca","ITA",1988
"Men","200 m Individual Medley L6","Bronze","GOMEZ Alberto","ESP",1988
"Men","200 m Individual Medley 4","Gold","PINTO Shlomo","ISR",1988
"Men","200 m Individual Medley 4","Silver","VAN LOON Jeffrey","NED",1988
"Men","200 m Individual Medley 4","Bronze","AVOLAIR Pascal","FRA",1988
"Men","200 m Individual Medley 5","Gold","GALINDO Moises","MEX",1988
"Men","200 m Individual Medley 5","Silver","MICOREC Bernard","FRA",1988
"Men","200 m Individual Medley 5","Bronze","SAJKIEWICZ Zbigniew","POL",1988
"Men","200 m Individual Medley 6","Gold","LEARDY Luis","ESP",1988
"Men","200 m Individual Medley 6","Silver","HAINEY Tomas","CAN",1988
"Men","200 m Individual Medley 6","Bronze","DUNNE Gerard","IRL",1988
"Men","400 m Individual Medley B2","Gold","ANDERSSON Per","SWE",1988
"Men","400 m Individual Medley B2","Silver","KROL Wieslaw","POL",1988
"Men","400 m Individual Medley B2","Bronze","GRENON Lee","CAN",1988
"Men","400 m Individual Medley B3","Gold","EDGSON Michael","CAN",1988
"Men","400 m Individual Medley B3","Silver","HUDSON Brian","USA",1988
"Men","400 m Individual Medley B3","Bronze","PEDERSEN Noel","NOR",1988
"Men","3x25 m Freestyle Relay 1A-1C","Gold","United States of America","USA",1988
"Men","3x25 m Freestyle Relay 1A-1C","Silver","Great Britain","GBR",1988
"Men","3x25 m Freestyle Relay 1A-1C","Bronze","Italy","ITA",1988
"Men","3x50 m Medley Relay 2-4","Gold","United States of America","USA",1988
"Men","3x50 m Medley Relay 2-4","Silver","Poland","POL",1988
"Men","3x50 m Medley Relay 2-4","Bronze","Israel","ISR",1988
"Women","50 m Freestyle B1","Gold","BURTON Janice","GBR",1988
"Women","50 m Freestyle B1","Silver","TJERNBERG Magdalena","SWE",1988
"Women","50 m Freestyle B1","Bronze","WEICKER Yvette","CAN",1988
"Women","50 m Freestyle B2","Gold","ZORN Trischa","USA",1988
"Women","50 m Freestyle B2","Silver","MCDOWELL Angela","GBR",1988
"Women","50 m Freestyle B2","Bronze","CHIPOVALOVA Tatiana","URS",1988
"Women","50 m Freestyle B3","Gold","BRANDEWIE Debra","USA",1988
"Women","50 m Freestyle B3","Silver","MAKSIMOVA Nadejda","URS",1988
"Women","50 m Freestyle B3","Bronze","TJERNBERG Gabriella","SWE",1988
"Women","50 m Freestyle L1","Gold","PAIROUX Genevieve","FRA",1988
"Women","50 m Freestyle L1","Silver","PIERRE Beatrice","FRA",1988
"Women","50 m Freestyle L1","Bronze","OSTERSTROM Anne-Lie","SWE",1988
"Women","50 m Freestyle L2","Gold","JOHANSSON Marita","SWE",1988
"Women","50 m Freestyle L2","Silver","STEWART Nancy","USA",1988
"Women","50 m Freestyle L2","Bronze","NIKKILA Ritva","FIN",1988
"Women","50 m Freestyle 2","Gold","GETTINGER Cynthia","USA",1988
"Women","50 m Freestyle 2","Silver","SMITH Judith","USA",1988
"Women","50 m Freestyle 2","Bronze","LILLECRAPP Lynette","AUS",1988
"Women","100 m Freestyle A2","Gold","KARLSSON Cecilia","SWE",1988
"Women","100 m Freestyle A2","Silver","WILSON Jan","USA",1988
"Women","100 m Freestyle A2","Bronze","SNORRADOTTIR Lilja","ISL",1988
"Women","100 m Freestyle A4","Gold","BARLUND Gritt","DEN",1988
"Women","100 m Freestyle A4","Silver","MUCZ Joanne","CAN",1988
"Women","100 m Freestyle A4","Bronze","BARR Dianne","GBR",1988
"Women","100 m Freestyle A8","Gold","BROKHOLC Kristina","SWE",1988
"Women","100 m Freestyle A8","Silver","HEDE Charlotte","DEN",1988
"Women","100 m Freestyle A8","Bronze","PERRIGO Staci","USA",1988
"Women","100 m Freestyle B1","Gold","TJERNBERG Magdalena","SWE",1988
"Women","100 m Freestyle B1","Silver","WEICKER Yvette","CAN",1988
"Women","100 m Freestyle B1","Bronze","BURTON Janice","GBR",1988
"Women","100 m Freestyle B2","Gold","ZORN Trischa","USA",1988
"Women","100 m Freestyle B2","Silver","MCDOWELL Angela","GBR",1988
"Women","100 m Freestyle B2","Bronze","CHIPOVALOVA Tatiana","URS",1988
"Women","100 m Freestyle B3","Gold","BRANDEWIE Debra","USA",1988
"Women","100 m Freestyle B3","Silver","TJERNBERG Gabriella","SWE",1988
"Women","100 m Freestyle B3","Bronze","MAKSIMOVA Nadejda","URS",1988
"Women","100 m Freestyle C4","Gold","BARKER Tammy","CAN",1988
"Women","100 m Freestyle C4","Silver","STIDEVER Jane","GBR",1988
"Women","100 m Freestyle C4","Bronze","SISSO Miri","ISR",1988
"Women","100 m Freestyle C6","Gold","YAXLEY Sandra","AUS",1988
"Women","100 m Freestyle C6","Silver","BINET Helene","FRA",1988
"Women","100 m Freestyle C6","Bronze","CHICK Susan","CAN",1988
"Women","100 m Freestyle C8","Gold","AARTS Marga","NED",1988
"Women","100 m Freestyle C8","Silver","JOHANSEN Katrin","FRO",1988
"Women","100 m Freestyle C8","Bronze","GOODRICH Judy","CAN",1988
"Women","100 m Freestyle L2","Gold","JOHANSSON Marita","SWE",1988
"Women","100 m Freestyle L2","Silver","NIKKILA Ritva","FIN",1988
"Women","100 m Freestyle L2","Bronze","ANDERSEN Anne-Dorte","DEN",1988
"Women","100 m Freestyle L4","Gold","KRAJEWSKA Lucyna","POL",1988
"Women","100 m Freestyle L4","Silver","SIEGERS Britta","FRG",1988
"Women","100 m Freestyle L4","Bronze","BERGER SETHER Maj","NOR",1988
"Women","100 m Freestyle L5","Gold","BERAUDIAS Agnes","FRA",1988
"Women","100 m Freestyle L5","Silver","CRISTALLO Goislaine","FRA",1988
"Women","100 m Freestyle L5","Bronze","RANTANEN Miia","FIN",1988
"Women","100 m Freestyle L5","Bronze","LEWIS Helen","GBR",1988
"Women","100 m Freestyle L6","Gold","HENGST Claudia","FRG",1988
"Women","100 m Freestyle L6","Silver","VID KELDU Tora","FRO",1988
"Women","100 m Freestyle L6","Bronze","VERMEULEN Sjerstin","NED",1988
"Women","100 m Freestyle 4","Gold","GULL Beverley","GBR",1988
"Women","100 m Freestyle 4","Silver","ADAMS Arden","USA",1988
"Women","100 m Freestyle 4","Bronze","AXELSDOTTIR Soley","ISL",1988
"Women","100 m Freestyle 5","Gold","PEIRO Ana","ESP",1988
"Women","100 m Freestyle 5","Silver","EROLES Esther","ESP",1988
"Women","100 m Freestyle 5","Bronze","ADAMIK Malgozata","POL",1988
"Women","100 m Freestyle 6","Gold","MOREIRA ALVES Graciana","BRA",1988
"Women","100 m Freestyle 6","Silver","CLARKE Nancy","USA",1988
"Women","100 m Freestyle 6","Bronze","MATOS Maria Jussara","BRA",1988
"Women","200 m Freestyle C4","Gold","BARKER Tammy","CAN",1988
"Women","200 m Freestyle C4","Silver","STIDEVER Jane","GBR",1988
"Women","200 m Freestyle C4","Bronze","WILLIAMS Victoria","USA",1988
"Women","400 m Freestyle A2","Gold","KARLSSON Cecilia","SWE",1988
"Women","400 m Freestyle A2","Silver","WALTERS Linda","GBR",1988
"Women","400 m Freestyle A2","Bronze","HOLLAND Deborah","AUS",1988
"Women","400 m Freestyle A4","Gold","MUCZ Joanne","CAN",1988
"Women","400 m Freestyle A4","Silver","BARLUND Gritt","DEN",1988
"Women","400 m Freestyle A4","Bronze","BARR Dianne","GBR",1988
"Women","400 m Freestyle A8","Gold","YOUNG Judith","AUS",1988
"Women","400 m Freestyle A8","Silver","HEDE Charlotte","DEN",1988
"Women","400 m Freestyle A8","Bronze","DURANCEAU Isabelle","FRA",1988
"Women","400 m Freestyle B1","Gold","TJERNBERG Magdalena","SWE",1988
"Women","400 m Freestyle B1","Silver","BURTON Janice","GBR",1988
"Women","400 m Freestyle B1","Bronze","KUKKONEN Eeva Riitta","FIN",1988
"Women","400 m Freestyle B2","Gold","ZORN Trischa","USA",1988
"Women","400 m Freestyle B2","Silver","ANDERSSON Eva","SWE",1988
"Women","400 m Freestyle B2","Bronze","MCDOWELL Angela","GBR",1988
"Women","400 m Freestyle B3","Gold","BRANDEWIE Debra","USA",1988
"Women","400 m Freestyle B3","Silver","TJERNBERG Gabriella","SWE",1988
"Women","400 m Freestyle B3","Bronze","ARNOLD Michelle","CAN",1988
"Women","400 m Freestyle C3-4","Gold","STIDEVER Jane","GBR",1988
"Women","400 m Freestyle C3-4","Silver","NAESS Christina","FRO",1988
"Women","400 m Freestyle C3-4","Bronze","WILLIAMS Victoria","USA",1988
"Women","400 m Freestyle L6","Gold","HENGST Claudia","FRG",1988
"Women","400 m Freestyle L6","Silver","VERMEULEN Sjerstin","NED",1988
"Women","400 m Freestyle L6","Bronze","VID KELDU Tora","FRO",1988
"Women","400 m Freestyle 4","Gold","GULL Beverley","GBR",1988
"Women","400 m Freestyle 4","Silver","ADAMS Arden","USA",1988
"Women","400 m Freestyle 4","Bronze","TOUCHI Hisako","JPN",1988
"Women","400 m Freestyle 5","Gold","PEIRO Ana","ESP",1988
"Women","400 m Freestyle 5","Silver","EROLES Esther","ESP",1988
"Women","400 m Freestyle 5","Bronze","ADAMIK Malgozata","POL",1988
"Women","400 m Freestyle 6","Gold","KOPP Heidi","FRG",1988
"Women","400 m Freestyle 6","Silver","CLARKE Nancy","USA",1988
"Women","400 m Freestyle 6","Bronze","JAVALOYA Pilar","ESP",1988
"Women","25 m Backstroke L1","Gold","PIERRE Beatrice","FRA",1988
