7;"Maria Semple";"RStudio Workbench: VS Code Sessions";"2021-06-02"
7;"Mark Sellors";"(Re)Introducing the ""Solutions"" website";"2021-05-27"
8;"Winston Chang";"ggplot2 0.9.3 and plyr 1.8 have been released!";"2012-12-06"
8;"Joe Cheng";"An update on Shiny";"2012-12-04"
8;"RStudio Team";"RStudio and Rcpp";"2012-11-29"
8;"Joe Cheng";"Introducing Shiny: Easy web applications in R";"2012-11-08"
8;"RStudio Team";"New version of RStudio (v0.97)";"2012-11-01"
8;"Hadley Wickham";"RStudio training";"2012-10-23"
8;"Hadley Wickham";"New version of httr: 0.2";"2012-10-14"
8;"Garrett Grolemund";"lubridate 1.2.0 now on CRAN";"2012-10-08"
8;"Hadley Wickham";"Where in the world is R and RStudio";"2012-10-01"
8;"Hadley Wickham";"New version of devtools: 0.8";"2012-09-16"
9;"Samantha Toet";"Centralizing your Analytics Infrastructure with eoda and Covestro";"2021-05-25"
9;"Mine Çetinkaya-Rundel";"ASA DataFest 2021";"2021-05-20"
9;"Jesse Mostipak";"Managing COVID Vaccine Distribution, With a Little Help From Shiny";"2021-05-18"
9;"Lou Bajuk and Nick Rohrbaugh";"Code-First Data Science for the Enterprise";"2021-05-12"
9;"Alex K Gold";"Low Friction Package Management in Three Parts";"2021-05-06"
9;"James Blair";"RStudio and APIs";"2021-05-04"
9;"Robby Shaver";"What's New on RStudio Cloud - May 2021";"2021-05-03"
9;"Samantha Toet";"Using RStudio to Amplify Digital Marketing Results";"2021-04-26"
9;"Alison Hill, Christophe Dervieux, Yihui Xie";"New in knitr: Improved accessibility with image alt text";"2021-04-20"
9;"Alison Hill, Christophe Dervieux, Yihui Xie";"Latest news from the R Markdown family";"2021-04-15"
10;"Jonathan McPherson";"Announcing Packrat";"2013-11-14"
10;"RStudio Team";"RStudio OS X Mavericks Issues Resolved";"2013-11-12"
10;"RStudio Team";"RStudio and OS X 10.9 Mavericks";"2013-10-22"
10;"RStudio Team";"RStudio v0.98 Preview (Debugging Tools and More)";"2013-09-24"
10;"Hadley Wickham";"The RStudio CRAN mirror";"2013-06-10"
10;"Hadley Wickham";"Version 1.2 of devtools released";"2013-04-17"
10;"Winston Chang";"Shiny 0.4.0 now available";"2013-02-22"
10;"Winston Chang";"Shiny 0.3.0 released";"2013-01-25"
10;"Hadley Wickham";"Version 1.0 of devtools released!";"2013-01-23"
10;"Joe Cheng";"Shiny Server now available";"2013-01-22"
11;"Uli Muellner (Epi-Interactive)";"Impressions from New Zealand’s R Exchange";"2021-04-14"
11;"Julia Silge";"Model Monitoring with R Markdown, pins, and RStudio Connect";"2021-04-08"
11;"Daniel Petzold";"RStudio 1.4 - A quick tour";"2021-04-06"
11;"Daniel Petzold";"BI and Data Science: Deliver Insights Through Embedded Analytics";"2021-04-01"
11;"Barret Schloerke and Carson Sievert";"plumber 1.1.0";"2021-03-29"
11;"Sean Lopp";"BI and Data Science: Collaboration Using Data Handoffs";"2021-03-25"
11;"Lou Bajuk";"BI and Data Science: Matching Approaches to Applications";"2021-03-18"
